ID,Distance,Galactocentric Radius,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBbul,Radius,gobs,gbar,L10(gobs),L10(gbar),tdyn,tdyn,Luminosity,Mass
,Mpc,kpc,km/s,km/s,km/s,km/s,km/s,,,m,m/s2,,,,seconds,Gyr,,
ESO079-G014,28.7,10.04,163,3.28,24.23,128.72,0,58.05,0,3.09834E+20,8.57523E-11,5.53713E-11,-10.06675443,-10.25671534,2.3655E+15,0.074999919,51.733,3.14
ESO079-G014,28.7,11.65,170,2.41,30.75,133.41,0,39.79,0,3.59519E+20,8.03852E-11,5.21357E-11,-10.094824,-10.28286442,2.62599E+15,0.083259049,51.733,3.14
ESO079-G014,28.7,13.36,175,2.18,36.2,132.99,0,23.18,0,4.1229E+20,7.42803E-11,4.60763E-11,-10.12912628,-10.33652238,2.99132E+15,0.094841998,51.733,3.14
ESO079-G014,28.7,15.06,177,2.23,39.42,128.51,0,15.89,0,4.64752E+20,6.74102E-11,3.88783E-11,-10.17127436,-10.41029263,3.45746E+15,0.109621331,51.733,3.14
ESO079-G014,28.7,16.67,178,2.03,40.49,124.23,0,10.92,0,5.14436E+20,6.15898E-11,3.31869E-11,-10.21049152,-10.47903356,3.93716E+15,0.124830541,51.733,3.14
ESO116-G012,13,0.25,20.9,3.4,-0.22,17.33,0,276.94,0,7.715E+18,5.66183E-11,3.89342E-11,-10.24704336,-10.40966882,4.45146E+14,0.014113694,4.292,1.083
ESO116-G012,13,0.83,40,3.29,-1.8,34.96,0,168.99,0,2.56138E+19,6.24663E-11,4.7843E-11,-10.20435403,-10.32018139,7.31691E+14,0.023198826,4.292,1.083
ESO116-G012,13,1.38,51.5,2.96,-1.55,51.34,0,141.01,0,4.25868E+19,6.22787E-11,6.19487E-11,-10.20566055,-10.2079676,8.29127E+14,0.026288125,4.292,1.083
ESO116-G012,13,1.85,67.9,3.45,5.01,61.73,0,81.24,0,5.7091E+19,8.07555E-11,6.71856E-11,-10.0928281,-10.17272381,9.21819E+14,0.029226987,4.292,1.083
ESO116-G012,13,2.68,80.2,2.93,12.54,60.49,0,46.01,0,8.27048E+19,7.77711E-11,4.61435E-11,-10.10918198,-10.33588915,1.33878E+15,0.042447122,4.292,1.083
ESO116-G012,13,3.19,83.3,3.08,16.68,63.17,0,41.4,0,9.84434E+19,7.04861E-11,4.33617E-11,-10.1518966,-10.36289389,1.50675E+15,0.047772565,4.292,1.083
ESO116-G012,13,3.68,91.4,2.83,20.19,65.14,0,30.23,0,1.13565E+20,7.35612E-11,4.09533E-11,-10.13335135,-10.38771088,1.66524E+15,0.052797775,4.292,1.083
ESO116-G012,13,4.13,102,5.4,22.31,66.32,0,24.2,0,1.27452E+20,8.16309E-11,3.84151E-11,-10.08814563,-10.4154976,1.82147E+15,0.057751078,4.292,1.083
ESO116-G012,13,5.23,105,4.21,25.63,64.52,0,9.48,0,1.61398E+20,6.83095E-11,2.98624E-11,-10.16551901,-10.52487514,2.3248E+15,0.073709708,4.292,1.083
ESO116-G012,13,6.05,109,2.1,27.28,60.09,0,3.57,0,1.86703E+20,6.36358E-11,2.33259E-11,-10.1962983,-10.63216249,2.82916E+15,0.08970057,4.292,1.083
ESO116-G012,13,6.81,108,2.1,28.58,55.74,0,2.78,0,2.10157E+20,5.55015E-11,1.86707E-11,-10.25569552,-10.72884016,3.35499E+15,0.106372632,4.292,1.083
ESO116-G012,13,7.56,109,2.1,30.7,53.61,0,2.04,0,2.33302E+20,5.09255E-11,1.63587E-11,-10.29306472,-10.78624994,3.77645E+15,0.119735281,4.292,1.083
ESO116-G012,13,8.32,110,2.1,33.83,51.18,0,1.21,0,2.56755E+20,4.71266E-11,1.46593E-11,-10.32673388,-10.83388564,4.18507E+15,0.132690782,4.292,1.083
